topic,term,weight
28,class,0.053921495
28,price,0.045283083
29,death,0.4858993
29,show,0.34759125
29,refund,0.08051889
29,air,0.042570807
29,include,0.024777027
29,waiver,0.018642748
30,price,0.16057831
30,usd,0.08146088
30,anytime,0.061154302
30,kuwait,0.037495248
30,cancel,0.073882885
30,turkish,0.029868005
30,egypt,0.027332379
30,air,0.027913425
30,death,0.04047983
30,waiver,0.029455239
31,charge,0.23399033
31,turkish,0.15916589
31,usd,0.1565175
31,child,0.12420485
31,departure,0.15237634
31,waiver,0.07545667
31,exclude,0.044303503
31,airline,0.0464477
31,medical,0.007537219
32,waiver,0.29476646
32,bhd,0.14635412
32,emirate,0.08379512
32,cancel,0.10559518
32,departure,0.11055862
32,exclude,0.04829022
32,cancellation,0.09149316
32,include,0.042932115
32,medical,0.030521587
32,charge,0.02539048
33,show,0.3630593
33,refund,0.27584428
33,emirate,0.20822422
33,case,0.05654285
33,departure,0.09632931
34,show,0.3781956
34,departure,0.27040434
34,reissue,0.10915322
34,emirate,0.10804971
34,kuwait,0.07165131
34,waiver,0.03454831
34,penalty,0.006655882
35,bhd,0.35091567
35,child,0.1895239
35,discount,0.1614082
35,charge,0.16056241
35,anytime,0.13061683
35,include,0.006972989
36,airline,0.28250304
36,klm,0.24914978
36,cancellation,0.23543406
36,refundable,0.15132557
36,refund,0.08158755
37,cancel,0.40942752
37,cancellation,0.35209486
37,anytime,0.2384776
38,charge,0.55117136
38,departure,0.4488286
39,show,1
40,refund,0.52566427
40,death,0.18708766
40,anytime,0.16299228
40,air,0.124255784
41,show,0.7490789
41,emirate,0.11244752
41,refund,0.12857527
42,kuwait,0.2872634
42,bhd,0.26775128
42,cancel,0.20445314
42,ticket,0.092949875
42,cancellation,0.09535125
42,airline,0.05223105
43,show,0.5555376
43,departure,0.44446242
44,departure,0.89150584
45,cancel,0.48681885
45,emirate,0.1897265
45,cancellation,0.2040726
45,reissue,0.119382046
46,refund,0.68049014
46,airline,0.28160772
46,case,0.037902154
47,show,1
48,cancel,0.5919724
48,cancellation,0.40802756
49,cancellation,0.6627274
49,cancel,0.3372726
